Row ID,Order ID,Order Date,Date Key,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit
1,EMEA-2020-152156,11/9/2020,20201109,Jane Doe,Ireland,Dublin,EMEA,UKIR,AnyCompany 23,1017,Energy,SMB,Marketing Suite,16GRM07R1K,261.96,2,0,41.9136
2,EMEA-2020-152156,11/9/2020,20201109,Jane Doe,Ireland,Dublin,EMEA,UKIR,AnyCompany 23,1017,Energy,SMB,FinanceHub,QLIW57KZUV,731.94,3,0,219.582
3,AMER-2020-138688,6/13/2020,20200613,Márcia Oliveira,United States,New York City,AMER,NAMER,ExampleCorp 29,1056,Energy,Strategic,FinanceHub,JI6BVL70HQ,14.62,2,0,6.8714
4,EMEA-2019-108966,10/11/2019,20191011,Kwesi Manu,Germany,Stuttgart,EMEA,EU-WEST,ExampleCorp 32,1031,Energy,SMB,ContactMatcher,DE9GJKGD44,957.5775,5,0.45,-383.031
5,EMEA-2019-108966,10/11/2019,20191011,Kwesi Manu,Germany,Stuttgart,EMEA,EU-WEST,ExampleCorp 32,1031,Energy,SMB,Marketing Suite - Gold,OIF7NY23WD,22.368,2,0.2,2.5164
6,AMER-2018-115812,6/9/2018,20180609,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,SaaS Connector Pack,8RM88WFOAE,48.86,7,0,14.1694
7,AMER-2018-115812,6/9/2018,20180609,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,ChatBot Plugin,4SYTVM0746,7.28,4,0,1.9656
8,AMER-2018-115812,6/9/2018,20180609,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,Site Analytics,07842ES7DY,907.152,6,0.2,90.7152
9,AMER-2018-115812,6/9/2018,20180609,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,ContactMatcher,XPBOBXWXA3,18.504,3,0.2,5.7825
10,AMER-2018-115812,6/9/2018,20180609,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,OneView,71J8P9Z1P0,114.9,5,0,34.47
